LU,Century,Frequency
se confier.v,20th century,0.029256204
ébruitement.n,12th century,0
ébruitement.n,13th century,0
ébruitement.n,14th century,0
ébruitement.n,15th century,0
ébruitement.n,16th century,0
ébruitement.n,17th century,0
ébruitement.n,18th century,0
ébruitement.n,19th century,0.000506592
ébruitement.n,20th century,0
ébruiter.v,12th century,0
ébruiter.v,13th century,0
ébruiter.v,14th century,0
ébruiter.v,15th century,0
ébruiter.v,16th century,0
ébruiter.v,17th century,0
ébruiter.v,18th century,0.004838008
ébruiter.v,19th century,0.010899407
ébruiter.v,20th century,0.005272222
confès.a,12th century,0
confès.a,13th century,0
confès.a,14th century,0
confès.a,15th century,0
confès.a,16th century,0.004433137
confès.a,17th century,0
confès.a,18th century,0
confès.a,19th century,0
confès.a,20th century,0
convenir.v,12th century,0
convenir.v,13th century,0
convenir.v,14th century,0
convenir.v,15th century,0
convenir.v,16th century,0.004433137
convenir.v,17th century,0.120904371
convenir.v,18th century,0.699571144
convenir.v,19th century,0.188474801
convenir.v,20th century,0.093107313
demeurer d'accord.v,12th century,0
demeurer d'accord.v,13th century,0
demeurer d'accord.v,14th century,0
demeurer d'accord.v,15th century,0
demeurer d'accord.v,16th century,0
demeurer d'accord.v,17th century,0.015876055
demeurer d'accord.v,18th century,0.002580271
demeurer d'accord.v,19th century,0
demeurer d'accord.v,20th century,0.000224558
dénonciation.n,12th century,0
dénonciation.n,13th century,0
dénonciation.n,14th century,0
dénonciation.n,15th century,0
dénonciation.n,16th century,0.004433137
dénonciation.n,17th century,0.001186142
dénonciation.n,18th century,0.03371945
dénonciation.n,19th century,0.051141685
dénonciation.n,20th century,0.029941011
dénoncer.v,12th century,0
dénoncer.v,13th century,0
dénoncer.v,14th century,0
dénoncer.v,15th century,0
dénoncer.v,16th century,0.039898233
dénoncer.v,17th century,0.024801152
dénoncer.v,18th century,0.097053373
dénoncer.v,19th century,0.194193663
dénoncer.v,20th century,0.296243277
faire tomber le voile.v,12th century,0
faire tomber le voile.v,13th century,0
faire tomber le voile.v,14th century,0
faire tomber le voile.v,15th century,0
faire tomber le voile.v,16th century,0
faire tomber le voile.v,17th century,0
faire tomber le voile.v,18th century,0.000645068
faire tomber le voile.v,19th century,0.000168864
faire tomber le voile.v,20th century,0.000224558
lever le voile.v,12th century,0
lever le voile.v,13th century,0
lever le voile.v,14th century,0
lever le voile.v,15th century,0
lever le voile.v,16th century,0
